	version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_ens	crps	crpss	ign	me	rmse	spread	me_oerr	rmse_oerr	spread_oerr	spread_plus_oerr	crpscl	crps_emp	crpscl_emp	crpss_emp	crps_emp_fair	spread_md	mae	mae_oerr	bias_ratio	n_ge_obs	me_ge_obs	n_lt_obs	me_lt_obs	ign_conv_oerr	ign_corr_oerr	stat_name	stat_value
341	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	GRB	NEAREST	1	NA	>0	-9999	-9999	ECNT	84	5.0	0.10028	NA	442.56905	-0.049771	0.075548	0.0009759	NA	NA	NA	NA	NA	0.049695	NA	NA	0.049676	0.00019048	0.049771	NA	NA	0	NA	420	-0.049771	NA	NA	ECNT_MAE_OERR	
342	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	5.0	0.41055	NA	-0.50746	0.007609	0.58824	0.74039	NA	NA	NA	NA	NA	0.09326	NA	NA	0.071612	0.21648	0.13648	NA	0.043555	6197	0.097481	248	-2.2381	NA	NA	ECNT_BIAS_RATIO	
343	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	5.0	1.15014	NA	2.71546	-1.09933	2.06699	2.44838	NA	NA	NA	NA	NA	1.366	NA	NA	1.14135	2.24652	1.41764	NA	1.04765	82	2.34476	248	-2.2381	NA	NA	ECNT_BIAS_RATIO	
344	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	5.0	1.69127	NA	3.11642	-2.16824	2.81092	2.83549	NA	NA	NA	NA	NA	2.07215	NA	NA	1.79939	2.72752	2.21297	NA	0.9538	27	3.04	138	-3.18725	NA	NA	ECNT_BIAS_RATIO	
345	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	374	5.0	0.52433	NA	0.086833	0.03885	1.06033	1.34717	NA	NA	NA	NA	NA	0.2966	NA	NA	0.22662	0.69978	0.43918	NA	0.15575	1646	0.34955	224	-2.24424	NA	NA	ECNT_BIAS_RATIO	
346	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	>0	-9999	-9999	ECNT	60	5.0	1.14539	NA	2.58147	-1.0793	2.06935	2.48046	NA	NA	NA	NA	NA	1.36311	NA	NA	1.13587	2.27247	1.4161	NA	1.049	76	2.35421	224	-2.24424	NA	NA	ECNT_BIAS_RATIO	
347	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	32	5.0	1.65462	NA	3.11879	-2.09781	2.74538	2.82378	NA	NA	NA	NA	NA	2.04054	NA	NA	1.77131	2.69225	2.14394	NA	1.00762	26	3.13731	134	-3.11358	NA	NA	ECNT_BIAS_RATIO	
348	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	258	5.0	0.0013961	NA	-4.39095	3.1008e-05	0.00024903	0.00055685	NA	NA	NA	NA	NA	6.2016e-06	NA	NA	0	6.2016e-05	3.1008e-05	NA	NA	1290	3.1008e-05	0	NA	NA	NA	ECNT_BIAS_RATIO	
349	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	26026	5.0	1.09683	NA	14.40765	0.050665	1.94083	0.69048	NA	NA	NA	NA	NA	1.13152	NA	NA	1.06521	0.66308	1.30291	NA	0.89279	71098	1.3246	59032	-1.48365	NA	NA	ECNT_BIAS_RATIO	
350	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	2461	5.0	1.27799	NA	7.30759	0.051261	2.06586	0.96366	NA	NA	NA	NA	NA	1.32279	NA	NA	1.21628	1.06509	1.59921	NA	1.12559	5969	1.85542	6336	-1.6484	NA	NA	ECNT_BIAS_RATIO	
351	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	5122	5.0	2.00862	NA	25.20678	-0.37257	2.92556	0.93067	NA	NA	NA	NA	NA	2.05936	NA	NA	1.96506	0.94303	2.36412	NA	0.92591	11331	2.3325	14279	-2.51916	NA	NA	ECNT_BIAS_RATIO	
352	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	26026	5.0	2.55083	NA	9.03549	1.70961	4.70109	3.70529	NA	NA	NA	NA	NA	1.37117	NA	NA	1.16122	2.0995	2.16088	NA	0.61053	120706	2.11334	9424	-3.4615	NA	NA	ECNT_BIAS_RATIO	
353	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	3495	5.0	3.75029	NA	35.68206	1.40482	7.83	5.31959	NA	NA	NA	NA	NA	3.49184	NA	NA	3.08022	4.11612	4.7653	NA	2.05144	8051	7.10103	9424	-3.4615	NA	NA	ECNT_BIAS_RATIO	
354	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	966	5.0	5.85027	NA	42.44631	-4.02494	10.51516	6.50613	NA	NA	NA	NA	NA	6.24364	NA	NA	5.68738	5.56261	7.57721	NA	0.90937	1358	7.90254	3472	-8.69012	NA	NA	ECNT_BIAS_RATIO	
355	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	2461	5.0	1.30184	NA	55.82566	-0.39881	2.71168	1.78627	NA	NA	NA	NA	NA	0.95079	NA	NA	0.8373	1.13497	1.19883	NA	0.48102	6607	0.93677	5698	-1.94745	NA	NA	ECNT_BIAS_RATIO	
356	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	NWC	NEAREST	1	NA	>0	-9999	-9999	ECNT	1512	5.0	1.60295	NA	73.8423	-0.81012	3.41859	2.18081	NA	NA	NA	NA	NA	1.47696	NA	NA	1.31483	1.62132	1.79027	NA	1.37118	1862	2.67031	5698	-1.94745	NA	NA	ECNT_BIAS_RATIO	
357	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	NWC	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	386	5.0	3.79908	NA	88.97869	-4.42939	6.35474	2.39446	NA	NA	NA	NA	NA	4.1093	NA	NA	3.90634	2.02955	4.47273	NA	0.51442	179	2.65091	1751	-5.15319	NA	NA	ECNT_BIAS_RATIO	
358	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	5122	5.0	0.013086	NA	39.72963	-0.00077837	0.0096973	0.0014801	NA	NA	NA	NA	NA	0.00082257	NA	NA	0.00081468	7.8875e-05	0.00085412	NA	0.00077368	25190	3.8507e-05	420	-0.049771	NA	NA	ECNT_BIAS_RATIO	
359	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	GRB	NEAREST	1	NA	>0	-9999	-9999	ECNT	84	5.0	0.10028	NA	442.56905	-0.049771	0.075548	0.0009759	NA	NA	NA	NA	NA	0.049695	NA	NA	0.049676	0.00019048	0.049771	NA	NA	0	NA	420	-0.049771	NA	NA	ECNT_BIAS_RATIO	
360	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	5.0	0.41055	NA	-0.50746	0.007609	0.58824	0.74039	NA	NA	NA	NA	NA	0.09326	NA	NA	0.071612	0.21648	0.13648	NA	0.043555	6197	0.097481	248	-2.2381	NA	NA	ECNT_N_GE_OBS	
361	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	5.0	1.15014	NA	2.71546	-1.09933	2.06699	2.44838	NA	NA	NA	NA	NA	1.366	NA	NA	1.14135	2.24652	1.41764	NA	1.04765	82	2.34476	248	-2.2381	NA	NA	ECNT_N_GE_OBS	
362	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	5.0	1.69127	NA	3.11642	-2.16824	2.81092	2.83549	NA	NA	NA	NA	NA	2.07215	NA	NA	1.79939	2.72752	2.21297	NA	0.9538	27	3.04	138	-3.18725	NA	NA	ECNT_N_GE_OBS	
363	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	374	5.0	0.52433	NA	0.086833	0.03885	1.06033	1.34717	NA	NA	NA	NA	NA	0.2966	NA	NA	0.22662	0.69978	0.43918	NA	0.15575	1646	0.34955	224	-2.24424	NA	NA	ECNT_N_GE_OBS	
364	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	>0	-9999	-9999	ECNT	60	5.0	1.14539	NA	2.58147	-1.0793	2.06935	2.48046	NA	NA	NA	NA	NA	1.36311	NA	NA	1.13587	2.27247	1.4161	NA	1.049	76	2.35421	224	-2.24424	NA	NA	ECNT_N_GE_OBS	
365	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	32	5.0	1.65462	NA	3.11879	-2.09781	2.74538	2.82378	NA	NA	NA	NA	NA	2.04054	NA	NA	1.77131	2.69225	2.14394	NA	1.00762	26	3.13731	134	-3.11358	NA	NA	ECNT_N_GE_OBS	
366	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	258	5.0	0.0013961	NA	-4.39095	3.1008e-05	0.00024903	0.00055685	NA	NA	NA	NA	NA	6.2016e-06	NA	NA	0	6.2016e-05	3.1008e-05	NA	NA	1290	3.1008e-05	0	NA	NA	NA	ECNT_N_GE_OBS	
367	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	26026	5.0	1.09683	NA	14.40765	0.050665	1.94083	0.69048	NA	NA	NA	NA	NA	1.13152	NA	NA	1.06521	0.66308	1.30291	NA	0.89279	71098	1.3246	59032	-1.48365	NA	NA	ECNT_N_GE_OBS	
368	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	2461	5.0	1.27799	NA	7.30759	0.051261	2.06586	0.96366	NA	NA	NA	NA	NA	1.32279	NA	NA	1.21628	1.06509	1.59921	NA	1.12559	5969	1.85542	6336	-1.6484	NA	NA	ECNT_N_GE_OBS	
369	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	5122	5.0	2.00862	NA	25.20678	-0.37257	2.92556	0.93067	NA	NA	NA	NA	NA	2.05936	NA	NA	1.96506	0.94303	2.36412	NA	0.92591	11331	2.3325	14279	-2.51916	NA	NA	ECNT_N_GE_OBS	
370	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	26026	5.0	2.55083	NA	9.03549	1.70961	4.70109	3.70529	NA	NA	NA	NA	NA	1.37117	NA	NA	1.16122	2.0995	2.16088	NA	0.61053	120706	2.11334	9424	-3.4615	NA	NA	ECNT_N_GE_OBS	
371	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	3495	5.0	3.75029	NA	35.68206	1.40482	7.83	5.31959	NA	NA	NA	NA	NA	3.49184	NA	NA	3.08022	4.11612	4.7653	NA	2.05144	8051	7.10103	9424	-3.4615	NA	NA	ECNT_N_GE_OBS	
372	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	966	5.0	5.85027	NA	42.44631	-4.02494	10.51516	6.50613	NA	NA	NA	NA	NA	6.24364	NA	NA	5.68738	5.56261	7.57721	NA	0.90937	1358	7.90254	3472	-8.69012	NA	NA	ECNT_N_GE_OBS	
373	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	2461	5.0	1.30184	NA	55.82566	-0.39881	2.71168	1.78627	NA	NA	NA	NA	NA	0.95079	NA	NA	0.8373	1.13497	1.19883	NA	0.48102	6607	0.93677	5698	-1.94745	NA	NA	ECNT_N_GE_OBS	
374	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	NWC	NEAREST	1	NA	>0	-9999	-9999	ECNT	1512	5.0	1.60295	NA	73.8423	-0.81012	3.41859	2.18081	NA	NA	NA	NA	NA	1.47696	NA	NA	1.31483	1.62132	1.79027	NA	1.37118	1862	2.67031	5698	-1.94745	NA	NA	ECNT_N_GE_OBS	
375	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	NWC	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	386	5.0	3.79908	NA	88.97869	-4.42939	6.35474	2.39446	NA	NA	NA	NA	NA	4.1093	NA	NA	3.90634	2.02955	4.47273	NA	0.51442	179	2.65091	1751	-5.15319	NA	NA	ECNT_N_GE_OBS	
376	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	5122	5.0	0.013086	NA	39.72963	-0.00077837	0.0096973	0.0014801	NA	NA	NA	NA	NA	0.00082257	NA	NA	0.00081468	7.8875e-05	0.00085412	NA	0.00077368	25190	3.8507e-05	420	-0.049771	NA	NA	ECNT_N_GE_OBS	
377	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	GRB	NEAREST	1	NA	>0	-9999	-9999	ECNT	84	5.0	0.10028	NA	442.56905	-0.049771	0.075548	0.0009759	NA	NA	NA	NA	NA	0.049695	NA	NA	0.049676	0.00019048	0.049771	NA	NA	0	NA	420	-0.049771	NA	NA	ECNT_N_GE_OBS	
378	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	5.0	0.41055	NA	-0.50746	0.007609	0.58824	0.74039	NA	NA	NA	NA	NA	0.09326	NA	NA	0.071612	0.21648	0.13648	NA	0.043555	6197	0.097481	248	-2.2381	NA	NA	ECNT_ME_GE_OBS	
379	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	5.0	1.15014	NA	2.71546	-1.09933	2.06699	2.44838	NA	NA	NA	NA	NA	1.366	NA	NA	1.14135	2.24652	1.41764	NA	1.04765	82	2.34476	248	-2.2381	NA	NA	ECNT_ME_GE_OBS	
380	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	5.0	1.69127	NA	3.11642	-2.16824	2.81092	2.83549	NA	NA	NA	NA	NA	2.07215	NA	NA	1.79939	2.72752	2.21297	NA	0.9538	27	3.04	138	-3.18725	NA	NA	ECNT_ME_GE_OBS	
381	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	374	5.0	0.52433	NA	0.086833	0.03885	1.06033	1.34717	NA	NA	NA	NA	NA	0.2966	NA	NA	0.22662	0.69978	0.43918	NA	0.15575	1646	0.34955	224	-2.24424	NA	NA	ECNT_ME_GE_OBS	
382	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	>0	-9999	-9999	ECNT	60	5.0	1.14539	NA	2.58147	-1.0793	2.06935	2.48046	NA	NA	NA	NA	NA	1.36311	NA	NA	1.13587	2.27247	1.4161	NA	1.049	76	2.35421	224	-2.24424	NA	NA	ECNT_ME_GE_OBS	
383	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	NWC	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	32	5.0	1.65462	NA	3.11879	-2.09781	2.74538	2.82378	NA	NA	NA	NA	NA	2.04054	NA	NA	1.77131	2.69225	2.14394	NA	1.00762	26	3.13731	134	-3.11358	NA	NA	ECNT_ME_GE_OBS	
384	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	258	5.0	0.0013961	NA	-4.39095	3.1008e-05	0.00024903	0.00055685	NA	NA	NA	NA	NA	6.2016e-06	NA	NA	0	6.2016e-05	3.1008e-05	NA	NA	1290	3.1008e-05	0	NA	NA	NA	ECNT_ME_GE_OBS	
385	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	26026	5.0	1.09683	NA	14.40765	0.050665	1.94083	0.69048	NA	NA	NA	NA	NA	1.13152	NA	NA	1.06521	0.66308	1.30291	NA	0.89279	71098	1.3246	59032	-1.48365	NA	NA	ECNT_ME_GE_OBS	
386	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	NWC	NEAREST	1	NA	NA	-9999	-9999	ECNT	2461	5.0	1.27799	NA	7.30759	0.051261	2.06586	0.96366	NA	NA	NA	NA	NA	1.32279	NA	NA	1.21628	1.06509	1.59921	NA	1.12559	5969	1.85542	6336	-1.6484	NA	NA	ECNT_ME_GE_OBS	
387	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 12:00:00	2012-04-10 12:00:00	TMP	K	Z2	TMP	K	Z2	ANALYS	GRB	NEAREST	1	NA	NA	-9999	-9999	ECNT	5122	5.0	2.00862	NA	25.20678	-0.37257	2.92556	0.93067	NA	NA	NA	NA	NA	2.05936	NA	NA	1.96506	0.94303	2.36412	NA	0.92591	11331	2.3325	14279	-2.51916	NA	NA	ECNT_ME_GE_OBS	
388	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	26026	5.0	2.55083	NA	9.03549	1.70961	4.70109	3.70529	NA	NA	NA	NA	NA	1.37117	NA	NA	1.16122	2.0995	2.16088	NA	0.61053	120706	2.11334	9424	-3.4615	NA	NA	ECNT_ME_GE_OBS	
389	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	360000	2012-04-12 00:00:00	2012-04-12 00:00:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ANALYS	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	3495	5.0	3.75029	NA	35.68206	1.40482	7.83	5.31959	NA	NA	NA	NA	NA	3.49184	NA	NA	3.08022	4.11612	4.7653	NA	2.05144	8051	7.10103	9424	-3.4615	NA	NA	ECNT_ME_GE_OBS	
